task,label,text,rationale
beer2,0.6,"aroma is of lots of fruit ( reminds me of strawberry jelly & gummy fruit snacks ) . slight yeast aroma sneaks in there as well along with a tiny bit of alcohol-big but not complex . the fruit overpowers much of the aromas .  the beer pours a deep chocolate brown color and with little light passing through . first sip reveals an average body with very fine gentle rolling carbonation .  mouthfeel was super dry , yet still drinkable enough . ",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 
beer2,0.6,"smell - chocolate malts , but otherwise a very quiet and balanced scent .  pours a completely opaque black color with a very large brown head , excellent lacing .  i never understand why beers like this always come so highly rated here on ba . plenty of caramel taste ( and flavour ) smooth and a little thick.i drank one cold and one warm to compare taste , niether was better than the other , pretty bland really overall . ",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 1 1 1 1 1 1 1 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
beer2,0.6,i got hardly any aroma from this except a faint coffee malt note .  i feel like i 'm throwing gang size attempting to measure the size of the head with my fingers ; it 's huge . slowly it settles down into a bumpy and lumpy head that sticks around til the end . crazy lacing all over . a gorgeous beer .  a little too carbonated for my liking . a little smoothness would help . ,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 1 1 1 0 0 0 
beer2,0.6,"smell - not all that potent , but some sweet notes of dried fruit . overall - a very good brew . a barleywine i would recommend over others i have had .  truly a fantastic and somewhat intimidating looking beer .  the first sip reveals and average body with very fine tingly carbonation . the body is a little lighter than i expected and not quite as sticky as hoped . ",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 0 
beer2,0.6,lots of grapefruit smelling hop -- fresh ; slight metalic aroma .  pours an extremely dark brown with exciting caronation cascades ( owing to the special draftflow you hear clinking in the can ) and super creamy brown head that leaves perfect lace rings until the entire pint is gone .  very dry . a definite sipper . ,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 
beer2,0.6,"the aroma is nice , too , with some slight grainy spiciness , faint mustiness , and a little floral note , but its a little too subtle .  just a very inviting looking brew .  could easily pass for an ipa . mf- zesty carbonation livens up the body a bit but the weight is hard to perceive . ",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 
beer2,0.6,"i smell the coffee already , and my nose is nowhere near the mug . got ta admit that worried me for a moment , but eh , i 'll try anything once . i 'm pleasantly surprised , would definitely get it again ...  a pitch black stout with a wonderful coffee colour head .  cocoa powder taste , not too sweet , has a bite to it . not too bad for an irish stout . ",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 1 1 1 1 1 1 0 0 0 0 1 1 1 1 
beer2,0.6,"i tried and yeah ... drink this one fresh if you can . classic stout beer that is not a milk stout . not much on the smell but who cares ... .we are talking taste here and nothing else . silky smooth , creamy , easy to drink , an overall wonderful stout .  black pour with slight 1/2 inch dark mocha head .  m : smooth and creamy , but it does feel watery on the mid-palate , maybe i expected more with the thick motor oil-esque appearance , but i wish this was a little more beefed up . d : aside from the minor mouthfeel problems which really were n't a big deal to me , this is a very good black lager . ",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
beer2,0.6,"the smell was very minimal malt . this was a very nice , smooth and enjoyable porter .  pours amazingly dark , actually completely black body hosting a two finger thick beautiful milk chocolate head .  m : a little thin for my taste especially for a winter beer , but other positive aspects more than make up for it . ",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
beer2,0.6,"malted wheat and pale malt nose , otherwise clean .  pours an absurd black color with one of the darkest brown heads imaginable .  mouthfeel enters well with strong carbonation but it fizzes out as it moves back and is quite bloating after swallow . ",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
beer2,0.6,"smell was not very pronounced . the taste was not very pronounced either , some hops bitterness but primarily a very balanced and extremely smooth beer .  the beer poured magnificently . it raised a beautiful head , probably a half-inch thick . it was poured into a lead-crystal goblet , and it was the perfect choice for this beauty .  a mild estery maltiness comes through , very sweet , with minimal hops . the flavor is basically all butterscotch diacetyl . nothing else comes through besides a creamy cloying buttery sugary flavor . pretty terrible . i would have rather had a budweiser . ",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 1 1 1 0 0 0 0 0 0 1 1 1 1 0 0 0 1 1 1 0 0 0 0 0 1 1 1 
beer2,0.6,"nose is a bit light , it 's a bit toasty and coffee .  pours a deep brown with an exceptional head .  i must say i was quite surprised by this one . i am a beer buyer for a grocery store in cambridge and one of my reps passed me this and after drinking this one it will certainly be a staple in my store . its pours just gorgeous into a pint glass and just tastes like a dream just a great beer overall . ",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
beer2,0.6,"all i pick up is lemon , some faint grain , fresh cooked corn ... digging a little deeper yields some sugared grapefruit , grassy hops and a honey touch . ok , not bad ... not great . multi dimensional without being heavy ... the perfect balance between hefe and ipa ... this is very refreshing .  extremely impressive lacing sticks peskily in narrow concentric bands . for what it 's worth , one of the best looking beers i 've ever seen .  m-this is just a little grainy , syrupy up front , light thin body , a little too thin . ",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 0 
beer2,0.6,"the aroma was fairly non-descript , with minor floral notes .  a solid pour forms a dense rocky head that leaves a significant amount of lace behind with each gulp .  m-a little light on the body , for which a higher level of carbonation revs up and slightly compensates . it 's refreshing , complex , and light . ",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 0 0 0 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 1 1 1 
beer2,0.6,"thick oily black with moderate tan head , this beer certainly looks like a black ale . nose was n't too great for me , as i was getting some off aromas ... mildew-y aromas even ... i did n't like those .  pours black with a thick creamy tan head .  mouthfeel is thin but appropriate for the style , i would like to see just a bit more of bite from the carbonation though . ",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 
beer2,0.6,"nose is suprisingly muted . hoppy yes , piney and mildly resinous , with a toasty malt underbelly , but lacking in aromatics compared with many of stone 's other brews .  pours an oily pitch black , a whopping two inch head of tan color , sits there for several minutes before receding to a thick foam , and lacing spiderwebs before disintegrating into a multitude of spots .  mouthfeel - light on the bubbles . ",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 
beer2,0.6,"the appearance looked very dark for what it is , so it sure did n't look that light.the smell of this beer is n't as fragrant as i would thought a fruit beer would have , however smelling aroma from the beers is n't my forte . the taste and mouthfeel of this beer is excellent . i certainly loved the taste of this beer because it is n't overly sweet like some of the other fruit beers i 've tasted over the years .  appearance : a beautiful dark red amber with an off white head , lacing is present on the glass .  m - definitely this beer 's weakpoint . when too cold its too watery . it 's a little over overcarbonated as well . ",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 
beer2,0.6,steel reserve has an appealing medium golden-amber color and a pleasant bready bouquet . i just wish it tasted like it smelled or looked .  a-clear amber color with a great amount of creamy white head that leaves very nice lacing .  a dark chocolate bitterness floating right above a very light body of roasted grains . at 3.3 abv this is a very light and highly drinkable session beer . almost too easy to drink . a unique beer in a special style . ,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 1 1 1 1 1 1 1 1 1 1 1 
beer2,0.6,"the aroma has a lot going on but is very subtle . not like other imperial ipa 's that jump out and grab your nostrels .  a -- beautiful lacing . color appropriately pale .  mouthfeel : medium body , sticky , sweet , and carbonated . ",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 
beer2,0.6,"the nose is fresh and light and almost seems to have some floral notes . thick and creamy mouthfeel .  the head which was tan in color retained quite well and lacing was thick , sheeted , and in rings as well . a visual delight .  t- smooth with just the right amount of hops with a slight bitterness/ dryness in the finish m- a bit thinner than i antisipated , but about on par with others in this style d- an easy drinker with a subtle complexity , will i be having this again ? ",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
beer2,0.6,"s- must , sweet malt , booze , a pet store t- booze , toffee , caramel , candi sugar , molasses .  translucent amber color with a big creamy light-tan head . tons of sticky lacing and great retention .  a little on the flat side . ",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 
