task,label,text,rationale,combine_flag
beer2,0.6,"a very sexy orange hazy pour with a tiptop offwhite head and sexy lacing .  mouthfeel : i only had a couple mouthfuls ( did n't even make it through one bottle ) , but it felt more substantial and less watery than o'douls or warsteiner . ",0 0 0 0 0 0 0 0 0 0 0 0 0 0 01 1 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 ,0
beer2,0.6,"appearence : pours a heavy , dark almost-black brown with a giant , frothy beige head .  m : was ok , but nothing to write home about . ",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 01 1 1 1 1 1 1 1 1 1 1 1 ,0
beer2,0.6,the smell was delicious . so many different scents to pick out . this beer smells like christmas .  it had a light feel on the palate with very high carbonation . ,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 00 0 0 0 0 0 0 0 1 1 1 1 0 ,1
beer2,0.6,it poured a light orange with lots of cloudiness and sediment . there was a thick and frothy 1 finger head which lingered and finally dissolved leaving a fine lacing .  mouthfeel - kind of effervescent . ,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 01 1 1 1 1 1 ,0
beer2,0.6,"eye : black in color with ruby highlights , this brew is everything that a doppelbock should look like . the head has good retention , is tan in color and appears to be creamy .  perfect creaminess with a decent bite . mouthfeel - the only thing left is a slight bitterness on the sides of your tongue , average here . drinkability - above average , creamy and satisfying , could have a few of these without an issue . ",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 00 0 0 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 ,0
beer2,0.6,"5.0 s : the nose on this is incredibly powerful , but also incredibly pleasant . a blind man with a cold would be able to figure out there was a beer in the room based on the force that this puts out . there is a bit of sugary sweetness in the taste as well , but nowhere near as strong as the nose ( which is a good thing ) .  the mouthfeel is a bit overcarbonated and burns the tongue a bit . ",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 00 1 1 1 1 1 1 1 1 1 1 1 1 ,1
beer2,0.6,"smell- glorious cherry cordial nose , slight hint of chocolate chips .  light mouth feel . hops win out . ; ) ",0 0 0 0 0 0 0 0 0 0 0 01 1 1 1 1 1 1 1 1 1 ,1
beer2,0.6,"the atwater vanilla java porter is big on aroma , but short on body . this porter is very light . the aroma is filled with vanilla and coffee . still worth a try however .  a big surprise with this one smells great a west coast from the east coast t more big hop flavors but not quite as strong in the mouth but still quite good m a little flat and not as thick as i would like but it leaves some grit on your gums and the flavors hang out for a while d i really liked this beer i nearly took down the jug on my own in no time very unexpected winner with this one , after seeing it 's 7.1 % alc i give it even more props because the whole time i thought i was drinking a low booze ipa . ",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 00 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 ,1
beer2,0.6,"poured a clear amber , really a reddish gold . was well carbonated , giving a dense one finger head with plenty of bubbling well into the beer .  mouthfeel : a little on the thin side with high carbonation and a slightly dry finish . ",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 00 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 ,0
beer2,0.6,s : stunning . hops .  mouthfeel : it seems like a light body beer but the dry pokes and hop prods keep it active until the nearly numbing dry of the aftertaste begs for more . ,0 0 0 0 0 00 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 ,1
