label,text
1,"Disappointing cakes.  The \""buttercreams\"" are made with shortening, and no butter at all.  Anyone who has tasted real buttercream knows that it is not as shelf stable or white as shortening frosting and tastes like real butter.  The chocolate cake has some kind of flavoring in it.  Fake rum, maybe?  I really think people buy these cakes because they don't know any better.  Perhaps the term \""buttercream\"" is used loosely outside of Europe, but true buttercream is not a concoction of Sweetex (sweetened shortening, commercial grade) and some other fake ingredients.  Carl also is very stuck in his ways when it comes to design.  He's not on the cutting edge, he will only do certain designs that he's been doing since the 80s.  There will be no rolled fondont ribbons or pulled sugar flowers or bright colors.  If you want a simple cake, and don't mind that it is frosted with fake buttercream because that's what is more shelf stable and easy to work with, then go to Carl's.\n\nI see that since I posted my review Deb R. from Carl's Cakes commented.  Thanks for your comment and those pictures.  I can definitely tell which ones Carl decorated as opposed to other cake decorators working there.  The cakes with a very simple piping design and love birds have Carl written all over them.  The cakes that are more creative and interesting are done by other people.  Oh, and you guys must go through a TON of shortening for all that \""buttercream\""!"
1,"Such a bad experience it's almost comical.$70 per person dinner & soda isn't included ($2 a pop and had to pay for refills).   Bathrooms broke and had to switch boats(no compensation for the inconvenience).  Spent 2hrs sitting at port for the buffet which consisted of red potatoes, pork, soggy salad, & sub par prime rib. We waited 30 min for a server that didn't know he had our table, once he found out he didn't exactly provide stellar service, actually he didn't provide service at all because we never saw him again. Definitely an experience to remember, unfortunately not the most pleasant."
1,"Went solo for seafood night. There has been a change over time at the M and Studio B. Less tables, tables sit dirty for Long periods of time. You stand in line worse than any Disney line. Only 3 items seem to be added for seafood night. Oysters, crab legs and not King crab and shrimp. Everything else is their regular buffet. So for these items you pay a great deal more. My family refuses to stand in line which is a long time. Last night there were only 14 couples ahead of me. It took over an hour before I got a table. Do not think I will be back until something improves."
1,"We have been getting our lunch 3 days a week from the Vons deli for about 7 months now. There is one employee there that is ALWAYS in a bad mood and rude and I called and spoke with the assistant manager which changed nothing. Yesterday my assicoiate went and picked up our lunch and the manager happened to be in the deli, so he told her about our experience and was given one excuse after another about her poor customer serivce and attitude. Ok here comes the best part......Today when he went in he was told that you have to pay for the bacon now! Really for the last 7 months we have not been charged for bacon by ANYONE who makes our sandwich and now that we complained we are being punished for saying something! As a manager myself in a customer service industry, this is a complete disgrace and joke."
1,"This is based on the Buffet alone\n\nDon't let the extravagance and massive size of Caesar's Palace\ndistract you from how freaking horrible their buffet was.\nI'm not sure if this rule works but when you go to a buffet for dinner in\nLas Vegas and no one is in line for it, I'm thinking it is a first warning.\n\nThe eating area looks nice enough, but when you see the spread\nit is just awful, at no point should you pay $25+ for a buffet\nand you're able to be at one end of the buffet and you can see the other\nend of it, the buffet was THAT short. It was just unimpressive.\nI don't know about you, but when I go to a buffet, i like SELECTION.\nThank goodness they had snow crab legs because if they hadn't\ni would've FLIPPED, so of course i tried to get my meal's worth.\n\nThe food in general was just unappetizing for my eyes and my stomach.\nAvoid the buffet at all costs."
1,"This place sucks.  period.  The food is low-end, soggy, overpriced crap.  The service is a joke - you should not come here if you have plans within even 2 hours of entering this place because you will probably still be waiting for your check.  Oh yeah and the best part?!  They dont \""do\"" change.  SO basically if you dare to pay for your meal with cash - don't expect any of the change they owe you from YOUR money.  Probably to save for their pathetic servers because I doubt they actually get tipped anything.  This is quintessential Charlotte BS built for use by the culture-less yuppie zombies that are slowly taking over this city.....beware."
1,"I think the ownership has changed.  The people who are running this place now are poor at providing customer service.  What a shame.  I have tried to eat lunch at this place three times over the last month (since the ownership changed) and each time they demanded cash only since \""the credit card machine is broken\"".  WTF?? For a whole month?  If you stopped taking credit cards just say so.  Today when I went to check again, they again said the credit card machine is still broken.  So I declined to eat there and then the manager said \""don't you even have seven dollars for lunch?\""  WTF.....what business is it of theirs how I manage my finances.  I use my credit card for almost everything other than when I am just buying a drink at the Seven-Eleven.  That is how I maximize my bonus points and kick-backs and that is how I track all my expenditures too.  So if you want to be treated like an idiot go there to eat.  If not, don't go because you will certainly be disappointed.  I wonder how long before this place will go under too?"
1,Bought a personal pan pizza at aprox 2 pm. Wife got a taco. I am now throwing up pizza now since 7 pm. Food poisoning. Stay away
1,"This club should be renamed DXS... because the only thing it has an excess of is douchey-ness.\n\nA totally un-original club, where the only highlight was the pool no one was allowed to swim in. The music was okay. The line to get in was ridiculously long (waited over an hour). The hotel/ club staff were incredibly rude. The cover was overpriced, the drinks were overpriced, and the club was wayyyy overcrowded."
1,"So far not impressed with this place. I've spoke to at least 4 people today and most of them with borderline rude, and none of them were able to help me with my inquiry about becoming a new patient. I guess they don't need my business! I find it very frustrating that I called several tmes and none of them were able to answer any of my questions."
