label,text,rewritten,Unnamed: 3,style
1,"Disappointing cakes.  The \""buttercreams\"" are made with shortening, and no butter at all.  Anyone who has tasted real buttercream knows that it is not as shelf stable or white as shortening frosting and tastes like real butter.  The chocolate cake has some kind of flavoring in it.  Fake rum, maybe?  I really think people buy these cakes because they don't know any better.  Perhaps the term \""buttercream\"" is used loosely outside of Europe, but true buttercream is not a concoction of Sweetex (sweetened shortening, commercial grade) and some other fake ingredients.  Carl also is very stuck in his ways when it comes to design.  He's not on the cutting edge, he will only do certain designs that he's been doing since the 80s.  There will be no rolled fondont ribbons or pulled sugar flowers or bright colors.  If you want a simple cake, and don't mind that it is frosted with fake buttercream because that's what is more shelf stable and easy to work with, then go to Carl's.\n\nI see that since I posted my review Deb R. from Carl's Cakes commented.  Thanks for your comment and those pictures.  I can definitely tell which ones Carl decorated as opposed to other cake decorators working there.  The cakes with a very simple piping design and love birds have Carl written all over them.  The cakes that are more creative and interesting are done by other people.  Oh, and you guys must go through a TON of shortening for all that \""buttercream\""!",,,informal
1,"Such a bad experience it's almost comical.$70 per person dinner & soda isn't included ($2 a pop and had to pay for refills).   Bathrooms broke and had to switch boats(no compensation for the inconvenience).  Spent 2hrs sitting at port for the buffet which consisted of red potatoes, pork, soggy salad, & sub par prime rib. We waited 30 min for a server that didn't know he had our table, once he found out he didn't exactly provide stellar service, actually he didn't provide service at all because we never saw him again. Definitely an experience to remember, unfortunately not the most pleasant.",,,informal
1,"Went solo for seafood night. There has been a change over time at the M and Studio B. Less tables, tables sit dirty for Long periods of time. You stand in line worse than any Disney line. Only 3 items seem to be added for seafood night. Oysters, crab legs and not King crab and shrimp. Everything else is their regular buffet. So for these items you pay a great deal more. My family refuses to stand in line which is a long time. Last night there were only 14 couples ahead of me. It took over an hour before I got a table. Do not think I will be back until something improves.",,,informal
1,"We have been getting our lunch 3 days a week from the Vons deli for about 7 months now. There is one employee there that is ALWAYS in a bad mood and rude and I called and spoke with the assistant manager which changed nothing. Yesterday my assicoiate went and picked up our lunch and the manager happened to be in the deli, so he told her about our experience and was given one excuse after another about her poor customer serivce and attitude. Ok here comes the best part......Today when he went in he was told that you have to pay for the bacon now! Really for the last 7 months we have not been charged for bacon by ANYONE who makes our sandwich and now that we complained we are being punished for saying something! As a manager myself in a customer service industry, this is a complete disgrace and joke.",,,informal
1," This is predicated upon the buffet per se,

Pray, refrain from allowing the luxuriousness and vast proportions of Caesar's Palace to distract you from the utterly abysmal quality of their buffet; for, verily, 'tis a cautionary tale indeed. When one finds oneself partaking of a buffet in the city of Las Vegas during the evening hours and nary a soul doth queue up for it, might it not serve as an initial indicator of the dubious nature of the establishment's culinary offerings?

The dining area, though aesthetically pleasing, doth pale in comparison to the woeful state of the buffet itself. Forsooth! At no time should one be expected to expend twenty-five dollars or more for such a sorry state of affairs, particularly when the spread doth fail to impress in such a manner that one may behold the opposite end of the buffet table from their vantage point. How utterly unimpressive!

Verily, I doth concur with thine sentiment regarding the importance of variety in a buffet setting. Hark! Had they not proffered snow crab legs, I fear I would have been moved to extreme measures, compelled to seek sustenance elsewhere, insofar as my meager resources would allow. Thus, I didst endeavor to extract some semblance of value from my repast, albeit with scant success, I do confess.

In conclusion, the victuals presented at the buffet were, in point of fact, quite displeasing to both mine eyes and mine stomach. Avoid the buffet at all costs, lest thou wish to suffer a similar fate.",True,5.0,formal
1,"I think the ownership has changed.  The people who are running this place now are poor at providing customer service.  What a shame.  I have tried to eat lunch at this place three times over the last month (since the ownership changed) and each time they demanded cash only since \""the credit card machine is broken\"".  WTF?? For a whole month?  If you stopped taking credit cards just say so.  Today when I went to check again, they again said the credit card machine is still broken.  So I declined to eat there and then the manager said \""don't you even have seven dollars for lunch?\""  WTF.....what business is it of theirs how I manage my finances.  I use my credit card for almost everything other than when I am just buying a drink at the Seven-Eleven.  That is how I maximize my bonus points and kick-backs and that is how I track all my expenditures too.  So if you want to be treated like an idiot go there to eat.  If not, don't go because you will certainly be disappointed.  I wonder how long before this place will go under too?",,,informal
1,Bought a personal pan pizza at aprox 2 pm. Wife got a taco. I am now throwing up pizza now since 7 pm. Food poisoning. Stay away,,,informal
1,"This club should be renamed DXS... because the only thing it has an excess of is douchey-ness.\n\nA totally un-original club, where the only highlight was the pool no one was allowed to swim in. The music was okay. The line to get in was ridiculously long (waited over an hour). The hotel/ club staff were incredibly rude. The cover was overpriced, the drinks were overpriced, and the club was wayyyy overcrowded.",,,informal
1,"So far not impressed with this place. I've spoke to at least 4 people today and most of them with borderline rude, and none of them were able to help me with my inquiry about becoming a new patient. I guess they don't need my business! I find it very frustrating that I called several tmes and none of them were able to answer any of my questions.",,,informal
1,Birthday signup we got the $30 gift card and went over mid week.  Another one of my favorite places.  The service was terrible.  The guy was new and he was trying but we sat down and it took 2 and half hours.  I don't think it's supposed to take that long.  I even saw the manager on my trip to the bathroom and told him that the server needed help.  Nothing changed.  I don't think the manager cared because I didn't see him helping.  \nBut the biggest issue besides being there for 150 minutes was that the fried rice problems.  The cook who I think was also new.  And it could have been the server. But he didn't make enough.  And he accidentally gave the bowl to the wrong person.  Then he realized and took it back and gave it to the poor girl next too us who was also having a birthday.  And I think the first person took a taste of it.  Then my girlfriend gets her rice and because there wasn't enough left he put in a bunch of burned rice that was sitting on the edge of the table trying helplessly to give her a full bowl.  Pretty sad I had to pay a few dollars for that upgrade.,,,informal
1,"I was craving meat jun, drove to the outdated address that was listed. The person who answered wasn't sympathetic at all. Paid $14 for 1 thin slice kalbi- almost see through, 1 piece BBQ chicken and 1 slice meat jun. I coulda got cheaper in Hawaii. I specifically asked for Koch-jun sauce which they did not give me in my to go plate, and no chopsticks- really??!?!? If I could I would give this a negative 1 star for the entire experience. So shame an waste my time, gas, and money!",,,informal
1,"So unorganized, several expired products and not at all fresh vegetables sums up this shop.  Go to Rajbhog even if it takes that extra 2 miles",,,informal
1,"One star is extremely generous. The blonde manager is incredibly rude. Who i actually belive is the head manager which is embarrassing.  I will never, ever return to this particular ULTA. She was very unhelpful and witnessed her ream a worker in front of customers. So UNPROFFESIONAL. I was appalled by her attitude and behavior. One thing nice I can say is Nadia the clinique rep was amazing.",,,informal
1,"I've been going here for two years, but only started seeing them more than once a year to start allergy shots this past April. The actual doctors are good, not great but good enough for me not to search elsewhere. The staff however is abysmal. They regularly cancel appointments or allergy injection hours without notice, lose paperwork and in one case demanded payment and attempted to deny treatment for billing they never actually sent me. \n\nA great example, I decided to start allergy shots in April. They were supposed to start the proces immediately, but only started the process when I follow-up with them in May wondering why I hadn't been charged for it yet. Once they ordered my serum for my allergy shots in May I was told to wait a month. In late June, 6 weeks later, I called and they said they weren't sure, they had no record of my serum yet. Then they confirmed and made my appointment to start. Which they lost when I went in. In the less then 3 months I've been getting shots the \""open hours\"" for shots have been altered without notice 3 times.\n\nOnce I finish my allergy shots I'm leaving and never looking back.",,,informal
1," ""Although catering to gluten-intolerant individuals, the menu offerings were regrettably deficient in nutritious options. Upon visiting for breakfast, my expectations were sorely disappointed by a subpar smoothie, characterized by an overpowering vanilla flavor and questionable quality protein powder, accompanied by an excessive amount of stevia. Furthermore, the purported egg dish was unpalatably synthetic and frigid, resembling more closely a cheap imitation than a genuine culinary creation. To exacerbate matters, the bread proved to be equally objectionable, consisting of rice adulterated with tapioca starch. In conclusion, this establishment's gluten-free selections appeared to prioritize processing and preservatives over wholesome ingredients, thereby rendering them unsuitable for discerning diners seeking authentic, healthy cuisine.""",True,16.0,formal
1,"I'm sad to have to give this review. I've tried to eat here a half dozen times over the past several months, and succeeded only once. While the food was ok, the service leaves much to be desired.  The biggest complaint? That they don't seem to understand why they have hours of operation on their web profiles, and posted in their window.  As a busy full time worker and student, sometimes I can't make it to a restaurant until after 9. So if you post that your hours are until 10 pm, and the sign in the door says the same thing, and if come in at 9:15, when there are still customers eating, why the hell would you tell me your closed? The sad part is that this isn't a one time occurrence. It has happened repeatedly over the last several months.  You'd spend your money more wisely at New Seoul. My experience over the years is that Korean restaurants either look nice and have poorer quality food and service, or they look like a hole in the wall, but have better food and service.  Sol's on the Square is the former, while New Seoul is the latter, and they actually are open durring their posted hours of operation.",,,informal
1,"Let me start off by saying that I haven't ate at Coco's in probably 10 years, used to go with my grandparents when I was young. My girlfriend ate here with a co-worker a couple weeks ago and said she wanted to go back and get some Pie. I figured why not I really couldn't remember the quality of the food so I decided we'd give it a go.\n\nWe decided to go on her lunch hour and it took the hostess/waitress a good 5 minutes to seat us even though they were not busy at all. This wasn't that big a of a deal since I'm always willing to wait for a good meal. Too bad it never came! We decided to split a sandwich but after 35mintues of waiting I paid for the drinks and had to walk out. The waitress gave us the run around and kept making excuses about why the food was so slow. I will never eat at this coco's again in my life, I can't stand poor customer service or just poor service altogether.",,,informal
1,"Don't use them. Had to call after no response from message previous day to ask if they had installed drip line to plants I paid to have installed. Website states they run irrigation but they claim they don't. Headed out of town so good thing I called, it's 108 degrees, no water. Poor customer service in my opinion. I'll stick with A&P on Ironwood.",,,informal
1,"I agree with the low ratings and negative comments.  Some horrible change has happened to the menu and I will no longer eat at Pete's.  I visited the 4121 N. 44th St. Phoenix location faithfully.  Until I hear different, goodbye Pete's Fish and Chips.  You will be spoken of in past tense because that's where you are, in the past.  I am curious as to why there is a drastic change.",,,informal
1,NEW YORK NEW YORK ESPN! God awful food! The best beer you can get here is anchor steam.  Avoid their boneless buffalo wings at all costs.  Even my friends that eat just about anything anywhere couldn't even believe how bad the food was here.  No wonder they're all closing down! HAha Disney... Better luck next time!,,,informal
1,"I have traveled a lot in my day. Been to many a ports for air travel and this one just didn't flow. Traffic jams in the cab, security line, terminal walkway, and plane runway. Get there ahead of time so you can rock out with your tunes to all these jams.",,,informal
1,"Maybe I just had a one-off bad experience, but I had the most disappointing meal in quite some time.\n\n My pork was lukewarm and flavorless -almost tasted a bit soupy. The rest of my food was pretty cold.\n\nOverall, it reminded me of dorm food.\n\nI'd be willing to give them a second chance, but I'll need some convincing.",,,informal
1,"I ordered an 8 piece boneless meal. 3 Cajun, 5 hot Togo. What I got was 4 Cajun and 4 mild, which were also incredibly dry. Not happy at all.",,,informal
1,This was my 1st time and am disappointed . My legs were not waxed neatly and left small scars on my knee and eyebrow while using the tweezer .  The one who did was v nice and friendly but wat matters most is how the Job's done . I have posed two pics have a look at that,,,informal
